PartitionKey,RowKey,Timestamp,RackRow,RackRow@type,Label,Label@type,WeightPre,WeightPre@type,WeightPost,WeightPost@type,WeightDiff,WeightDiff@type,DistMinH,DistMinH@type,DistMaxH,DistMaxH@type,DistAvgH,DistAvgH@type,DistMinL,DistMinL@type,DistMaxL,DistMaxL@type,DistAvgL,DistAvgL@type,DistTime,DistTime@type
F0:08:D1:C8:A7:34,03674838-7a7d-4f65-a8ff-11315e0d3d10,2022-05-28T13:58:26.3120062Z,2,Int32,21,Int32,0,Int32,0,Int32,0,Int32,27,Int32,36,Int32,31,Int32,27,Int32,36,Int32,31,Int32,3358,Int32
F0:08:D1:C8:A7:34,0376173d-7059-4211-b4a1-7c168b32ce98,2022-05-28T14:26:33.9141792Z,2,Int32,20,Int32,0,Int32,0,Int32,0,Int32,31,Int32,37,Int32,33,Int32,31,Int32,42,Int32,35,Int32,1870,Int32
F0:08:D1:C8:A7:34,0628a786-28da-4c9f-97fc-6ee240e75782,2022-05-28T14:24:57.4637252Z,2,Int32,13,Int32,0,Int32,0,Int32,0,Int32,38,Int32,43,Int32,40,Int32,37,Int32,43,Int32,40,Int32,2063,Int32
F0:08:D1:C8:A7:34,062a202a-19cc-4c61-814f-7458a33e04d0,2022-05-28T14:26:42.7918921Z,2,Int32,21,Int32,0,Int32,0,Int32,0,Int32,24,Int32,30,Int32,26,Int32,24,Int32,30,Int32,26,Int32,1686,Int32
F0:08:D1:C8:A7:34,06e05b50-bcbf-4fad-a713-c19975ef4b42,2022-05-25T13:16:47.9637282Z,2,Int32,3,Int32,0,Int32,0,Int32,0,Int32,27,Int32,29,Int32,28,Int32,27,Int32,29,Int32,28,Int32,207,Int32
F0:08:D1:C8:A7:34,08c78a53-dc37-48de-b93b-39177efb3b37,2022-05-28T13:29:17.0829812Z,2,Int32,6,Int32,0,Int32,0,Int32,0,Int32,4,Int32,8,Int32,4,Int32,4,Int32,8,Int32,4,Int32,2406,Int32
F0:08:D1:C8:A7:34,0973686e-77f9-483e-bd55-c7f8579e1076,2022-05-28T14:12:24.9515657Z,2,Int32,4,Int32,0,Int32,0,Int32,0,Int32,21,Int32,24,Int32,21,Int32,21,Int32,26,Int32,23,Int32,2601,Int32
F0:08:D1:C8:A7:34,0b0aef9c-e5dc-4955-9aea-19947bc8e76a,2022-05-28T13:18:47.0278357Z,2,Int32,13,Int32,0,Int32,0,Int32,0,Int32,33,Int32,43,Int32,39,Int32,33,Int32,43,Int32,39,Int32,2809,Int32
F0:08:D1:C8:A7:34,0b3bb2e6-d510-437f-b8a3-d180801b0695,2022-05-28T13:18:13.1844378Z,2,Int32,10,Int32,0,Int32,0,Int32,0,Int32,22,Int32,24,Int32,23,Int32,23,Int32,24,Int32,23,Int32,1877,Int32
F0:08:D1:C8:A7:34,0bbbe032-27b2-4745-beef-2c2667114a77,2022-05-28T13:23:44.0459262Z,2,Int32,4,Int32,0,Int32,0,Int32,0,Int32,15,Int32,17,Int32,15,Int32,15,Int32,17,Int32,15,Int32,1680,Int32
